Settled Transactions 01/01/2020 to 08/10/2026
Transaction Date	Description	Type	Units	Price	Total Amount
05/01/2023	Vanguard Extended Mkt Idx Inst	SALE OF RECORDKEEPING FEE	0.04	$104.15	$4.20
05/01/2023	Schwab Small Cap Index	SALE OF RECORDKEEPING FEE	0.15	$28.49	$4.26
04/24/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	1.015	$120.74	$122.50
04/24/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.959	$127.74	$122.50
04/24/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	1.168	$104.92	$122.50
04/24/2023	Schwab Small Cap Index	BUY INVESTMENTS	4.252	$28.81	$122.50
04/06/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.608	$118.81	$72.25
04/06/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.567	$127.35	$72.25
04/06/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.699	$103.42	$72.25
04/06/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.557	$28.25	$72.25
03/24/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.632	$114.68	$72.50
03/24/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.584	$124.09	$72.50
03/24/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.715	$101.48	$72.50
03/24/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.599	$27.90	$72.50
03/23/2023	Vanguard Extended Mkt Idx Inst	REINVESTED DIVIDEND	0.103	$101.07	$10.46
01/19/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.779	$164.71	$128.25
01/19/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	1.054	$121.66	$128.25
01/19/2024	Schwab Small Cap Index	BUY INVESTMENTS	4.112	$31.19	$128.25
01/05/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.59	$122.48	$72.25
01/05/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.466	$155.15	$72.25
01/05/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.6	$120.37	$72.25
01/05/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.309	$31.29	$72.25
12/21/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.591	$122.71	$72.50
12/21/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.453	$159.88	$72.50
12/21/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.585	$124.00	$72.50
12/21/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.242	$32.33	$72.50
12/20/2023	Vanguard Mstar Growth Idx I	REINVESTED DIVIDEND	0.074	$158.11	$11.75
12/19/2023	Vanguard Extended Mkt Idx Inst	REINVESTED DIVIDEND	0.184	$124.36	$22.89
12/15/2023	Vanguard Total Intl Stk Idx I	REINVESTED DIVIDEND	0.646	$121.25	$78.39
12/08/2023	Schwab Small Cap Index	REINVESTED DIVIDEND	2.639	$30.12	$79.49
12/07/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.601	$120.48	$72.50
12/07/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.469	$154.55	$72.50
12/07/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.624	$116.13	$72.50
12/07/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.385	$30.40	$72.50
11/24/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.602	$120.00	$72.25
11/24/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.47	$153.64	$72.25
11/24/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.644	$112.16	$72.25
11/24/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.458	$29.39	$72.25
11/09/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.633	$114.56	$72.50
11/09/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.498	$145.64	$72.50
11/09/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.692	$104.73	$72.50
11/09/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.645	$27.41	$72.50
10/19/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	1.09	$112.12	$122.25
10/19/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.867	$141.01	$122.25
10/19/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	1.167	$104.73	$122.25
10/19/2023	Schwab Small Cap Index	BUY INVESTMENTS	4.423	$27.64	$122.25
10/05/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.643	$112.77	$72.50
10/05/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.515	$140.66	$72.50
10/05/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.685	$105.77	$72.50
10/05/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.58	$28.10	$72.50
09/27/2023	Vanguard Extended Mkt Idx Inst	REINVESTED DIVIDEND	0.136	$107.84	$14.62
09/22/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.395	$116.50	$46.00
09/22/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.328	$140.36	$46.00
09/22/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.425	$108.28	$46.00
09/22/2023	Schwab Small Cap Index	BUY INVESTMENTS	1.597	$28.80	$46.00
09/20/2023	Vanguard Mstar Growth Idx I	REINVESTED DIVIDEND	0.048	$143.34	$6.94
09/15/2023	Vanguard Total Intl Stk Idx I	REINVESTED DIVIDEND	0.207	$118.91	$24.59
08/24/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.619	$117.11	$72.50
08/24/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.508	$142.70	$72.50
08/24/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.655	$110.60	$72.50
08/24/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.425	$29.89	$72.50
08/10/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.597	$121.47	$72.50
08/10/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.5	$144.90	$72.50
08/10/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.633	$114.50	$72.50
06/24/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.603	$129.72	$78.25
06/24/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.411	$190.30	$78.25
06/24/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.612	$127.77	$78.25
06/24/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.386	$32.79	$78.25
06/21/2024	Vanguard Total Intl Stk Idx I	REINVESTED DIVIDEND	0.418	$129.03	$53.87
06/06/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.587	$132.82	$78.00
06/06/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.419	$186.06	$78.00
